Complex Name,Organism,Complex Function ,Proteins,Genes,Accession_Mapped
ATP4A-ATP4B complex,Homo Sapiens,"The gastric H+ , K+ - ATPase is an integral membrane protein which derives energy from the hydrolysis of ATP to transport H+ ions from the parietal cells of the gastric mucosa into the stomach in exchange for K+ ions. It is responsible for the acidic environment of the stomach, which is essential for digestion. Acid secretion is regulated by the recruitment of the H+ , K+ - ATPase from intracellular stores into the plasma membrane on the ingestion of food",Potassium-transporting ATPase alpha chain 1 ; Potassium-transporting ATPase subunit beta ,"ATP4A - human 
ATP4B - human ",P20648; A6NGH2
Cytochrome bc1 Complex (Complex III),Mus Musculus,"Transfers electrons from ubiquinol to cytochrome c in the mitochondrial electron transport chain, aiding ATP production.",Cytochrome b; Rieske iron-sulfur protein; Cytochrome c1,"Cybb
Uqcrfs1
Cyp11b1",A0A075DCW5; Q9CR68; Q9D0M3
Synaptonemal Complex,Caenorhabditis Elegans,TBD need to do more accurate research,Nan,,Not Found
GNA12-GPR55-RGS2 complex,Homo Sapiens,"G-protein coupled receptor 55 (GPR55) is one of GPCRs and activated by endogenous cannabinoids. A family of regulators of G-protein signaling (RGS) stimulates GTP hydrolysis of alpha subunit of G-protein (Galpha) and inhibits GPCR/Galpha-mediated signaling. RGS2 is member of R4 RGS family and mainly attenuates GPCR/G(alpha)q signaling. GPR55 interacted with RGS2 alone and also formed a ternary complex with RGS2 and either G(alpha)q or G(alpha)12. In the presence of GPR55 alone and together with G(alpha)q or G(alpha)12, RGS2 translocated from the cytoplasm to plasma membrane while RGS1 remained in the cytoplasm. GPR55 activation significantly induced ERK phosphorylation and intracellular calcium mobilization, which were markedly inhibited by RGS2 in HCT116 colon cancer cell line. Furthermore, GPR55-mediated cell proliferation and migration of HCT116 cells, was significantly attenuated by RGS2 (PMID: 33092790).","Guanine nucleotide-binding protein subunit alpha-12 ; G-protein coupled receptor 55 ; Regulator of G-protein signaling 2	","GNA12
GPR55",Q03113; C9J1P7; P41220
Melanocortin receptor 3,Homo Sapiens,"Melanocortin receptors 1 (MC1) and MC3 form homo- and heterodimers, when expressed in Cos-7 cells. Treatment with agonist, partial agonist or antagonists did not modify the BRET(2) signal for any of the receptor pairs studied, suggesting that the dimerization is not regulated by ligand binding. Rather the results indicate that melanocortin receptors exist as constitutively pre-formed dimers (PMID: 15582585). Melanocortin 3 and 4 receptors (MC3R and MC4R) are known to play an essential role in hypothalamic weight regulation (PMID: 20054210).",Melanocortin receptor 3,,P41968
ATP1A1-TSHR complex,Homo Sapiens,"Thyroid stimulating hormone (TSH) binds to a specific TSH receptor (TSHR) which activates adenylate cyclase and increases cAMP levels in thyroidal cells. Studies have reported the presence of TSH receptor in several extra-thyroidal cell types, including erythrocytes. TSH induces co-localization of TSH receptor and Na/K-ATPase in human erythrocytes (PMID: 19466745).",Sodium/potassium-transporting ATPase subunit alpha-1; Thyrotropin receptor,,B7Z1N5; A0A1B0GUJ5
ADRA1B-CXCR4 complex,Homo Sapiens,Disruption of alpha-1A/B-adrenergic receptor-CXCR4 heteromeric complexes inhibits alpha1-ARmediated functions in vascular smooth muscle cells and treatment with CXCR4 agonists enhances the potency of the alpha-1-AR agonist phenylephrine to increase blood pressure.,Alpha-1B adrenergic receptor; C-X-C chemokine receptor type 4,,P35368; A0A0U3GXA9
Bdkrb2-Tbxa2r complex,Mus Musculus,"Bradykinin (BK) and thromboxane-A2 (TX-A2) are two vasoactive mediators that modulate vascular tone and inflammation via binding to their cognate ""class A"" G-protein coupled receptors (GPCRs), BK-B2 receptors (B2R) and TX-prostanoid receptors (TP), respectively. The findings revealed synergistically activated ERK1/2 following co-stimulation of rat VSMC with a subthreshold dose of BK and effective doses of the TP stable agonist, IBOP, possibly involving biased agonist signaling. Inspection of B2R-TP PLA signals in VSMC revealed agonist-modulated nuclear and extranuclear proximity between B2R and TP, whose quantification varied substantially following single versus dual agonist stimulations (PMID: 31086419)",B2 bradykinin receptor; Thromboxane A2 receptor,,B2RQ47; Q712P5
Drd3-Ednrb complex,Mus Musculus,"The dopaminergic and endothelin systems, by regulating sodium transport in the renal proximal tubule (RPT), participate in the control of blood pressure. The D3 and ETB receptors are expressed in RPTs, and D3 receptor function in RPTs is impaired in spontaneously hypertensive rats (SHRs). D3 receptors regulate ETB receptors by physical receptor interaction and govern receptor expression and function (PMID: 19390510).",D dopamine receptor; Endothelin receptor type B,,P30728; Q8K1V9
Egflam-Gpr179 complex,Mus Musculus,The transsynaptic binding of the orphan receptor GPR179 to the dystroglycan-pikachurin complex Is essential for the synaptic organization of photoreceptors (PMID: 30282023).,Pikachurin; G-protein coupled receptor 179,,Q4VBE4; E9PY61
Ceacam1-4L-Syk-Tlr4 complex,Mus Musculus,"LPS treatment of neutrophils triggers formation of the Ceacam1-Syk-Tlr4 complex, which in turn, recruits the inhibitory phosphatase SHP-1 to CEACAM1 to inhibit IL-1beta production by the NLRP3 inflammasome. This indicates, that the complex is necessary to fine-tune IL-1beta production in LPS treated neutrophils to prevent hyper-inflammation. It also explains, that the IL-1beta production is blunted by binding of Neisseria pathogens to the neutrophil receptor CEACAM1 to suppress inflammation, favouring the infectious process. (PMID:22496641)",Cell adhesion molecule; Tyrosine-protein kinase; Toll-like receptor 4,,E9QA28; P55144; L0CMZ8
KDR-NRP1-VEGF165 complex,Homo Sapiens,"A ternary complex containing NRP1, VEGF165, and KDR is formed both, on the surface of endothelial cells or between tumor cells and endothelial cells, leading to enhanced VEGFR2 signaling (PMID: 11948691). VEGF121 does not promote VEGFR2-NRP1 complex formation (PMID: 17575273). VEGF binding to NRP1 is essential for complex formation between NRP1 and VEGFR2 (PMID: 21653826).","Vascular endothelial growth factor receptor 2; Neuropilin-1; Vascular endothelial growth factor A, long form",,A0A0H4A7S4; Q5JWQ4; P15692
NRP1-VEGF121 complex,Homo Sapiens,"In contrast to former publications (PMID:10991952), both isoforms of VEGFA, VEGF(165) and VEGF(121), bind to NRP1. However, only VEGF165 is sufficient to promote complex formation between VEGFR2 and NRP1, suggesting that VEGF121 may signal through NRP1 independently of VEGFR2.","Neuropilin-1; Vascular endothelial growth factor A, long form",,Q5JWQ4; P15692
KDR-VEGF165 complex,Homo Sapiens,"VEGF-A binding to VEGFR2 triggers distinct patterns of ubiquitylation, proteolysis and clearance within the endosome-lysosome system. VEGF-A isoforms had distinct properties in regulating VEGFR2 endocytosis at the plasma membrane, it was predicted that VEGF-A-stimulated VEGFR2 degradation was isoform-specific. It was confirmed that this was indeed true: VEGF-A121 showed negligible effects on VEGFR2 degradation; however, VEGF-A165 or VEGF-A145 showed a similar 30% reduction in total VEGFR2 levels after 120 min (PMID:7044325).","Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor A, long form",,A0A0H4A7S4; P15692
FLT4-VEGFC complex,Homo Sapiens,"The lymphangiogenic ligand VEGFC binds to KDR (VEGFR2) and FLT4 (VEGFR3), respectively (PMID: 9751730). In human lymphatic endothelial cells binding of VEGFC to VEGFR-3 (FLT4) promotes cell proliferation and migration and plays a critical role in lymphatic sprout formation (PMID: 11532940).",Vascular endothelial growth factor receptor 3; Vascular endothelial growth factor C,,A0A0A7DZ60; P49767
ITGA3-ITGB1 complex,Homo Sapiens,cell adhesion,Integrin alpha-3; Integrin beta-1,,Q59F03; Q5T3E6
 Golgi-associated retrograde protein complex ,Caenorhabditis Elegans, tethering of endosome-derived transport vesicles to the late Golgi,"Vps51p, Vps52p, Vps53p, and Vps54p",,O01839; G5EFV8; P34561; Q22639 
 Transmembrane channel-like (TMC) 2 complex ,Caenorhabditis Elegans,pore-forming subunits of the mechanoelectrical transduction complexes that are located in auditory and vestibular hair cells of the inner ear,"CALM-1, TMIE",,O16305; D3KZG3 
13 subunit eukaryotic initiation factor 3 (eIF3) complex,Caenorhabditis Elegans,,"elf3k, elf3l, elf3e, elf3c, elf3a, elf3m, elf3h, elf3f, elf3b, elf3g, elf3I, elf3d",,Q9XUP3; Q95QW0; O61820; O02328; P34339; Q94261; O01974; Q18967; Q9XWI6; Q19706; Q965S8; P30642
Tip60 chromatin-remodeling complex ,Drosophila Melanogaster,"Enables euchromatin binding activity and histone acetyltransferase activity. Involved in several processes, including DNA repair-dependent chromatin remodeling; negative regulation of neuron apoptotic process; and regulation of terminal button organization. Located in nucleus and polytene chromosome interband. Part of NuA4 histone acetyltransferase complex. Is expressed in NMJ bouton; embryonic/larval neuromuscular junction; organism; and yolk nucleus. Orthologous to human KAT5 (lysine acetyltransferase 5)
",Histone acetyltransferase Tip60; Domino; Tra1; Brd8; E; DMAP1; Pontin; Reptin; Ing3; Act87E; BAP55; Mrg15; MrgBP; Gas41; YL-1; ,,Q960X4; Q9NDJ2; Q8I8U7; Q2XY62; A4V0R4; Q7K3D8; Q9VH07; Q9V3K3; Q9VWS0; A0A0B4LH50; Q7K012; Q9Y0I1; Q7K003; Q9VM63; Q9VKM6
COP9 Signalosome ,Drosophila Melanogaster,Largely unknown in mammals but thought to be related to multi-cellular differentiation,Dch1-8,,Not Found
20S proteosome ,Drosophila Melanogaster,,"Alpha1, Alpha2, Alpha3, Alpha4, Alpha5, Alpha6, Alpha7, Alpha8, Beta1, Beta2, Beta3, Beta4, Beta5, Beta6, Beta7",,Not Found
HCN1-HCN4 complex,Homo Sapiens,"CN channel subunits assemble to a variety of different heteromers. Only one pair of channel subunits, HCN2 and HCN3, makes an exception and does not form a functional heteromer. Although HCN2 and HCN3 subunits could be easily detected in the plasma membrane, there was no obvious colocalization of the two proteins. In accordance with this finding HCN2 and HCN3 are not coimmunoprecipitated by specific antibodies. Interestingly, cells coexpressing HCN2 and HCN3 exhibited a significantly reduced current density compared with cells expressing HCN2 alone. One explanation for this result is that in the presence of HCN3 less functional HCN2 channel protein is inserted into the plasma membrane. Homomeric HCN3 channels can probably not compensate for the resulting reduction in current amplitude because for unknown reasons HCN3 produces notoriously small currents.
",Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1; Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"HCN1
HCN4",O60741; Q9Y3Q4
GRIN1-P2RY4 complex ,Homo Sapiens,"The P2Y4 receptor and the NMDAR1 subunit are inversely modulated in cerebellar granule neurons under glucose starvation (P2Y4 is upregulated and restored to basal levels by the neuroprotective P2 and NMDA antagonists, whereas NMDAR1 undergoes protein down-regulation again counteracted by the same antagonists). The upregulation of the P2Y4 in SH-SY5Y cells by transfection causes an inhibitory expression of the NMDAR1. Both P2Y4 and NMDAR1 actively participate to the metabolic impairment and the consequent cell death, although the elevated expression of the P2Y4 in SH-SY5Y cells by transfection is sufficient to cause hypoglycemic cell death. The purinergic metabotropic P2Y4 and the glutamatergic ionotropic NMDAR1 display strict co-localization and direct molecular association. P2Y4 is the first purinergic metabotropic receptor to be causal to cell death under conditions of metabolism impairment (PMID: 15383322).
","Glutamate receptor ionotropic, NMDA 1	; P2Y purinoceptor 4	","GRIN1
P2RY4",Q05586; C6G7W4
 LY96-TLR4 complex ,Homo Sapiens,"LPS is transferred to the TLR4-MD-2 complex by two accessory proteins, LPS-binding protein (LBP) and CD14.(PMID:16953972). Selected N-linked glycosylation sites of both MD-2 and TLR4 play key roles in the maintenance of the ability of the LPS receptor to recognize LPS (PMID:11706042).
","Lymphocyte antigen 96; Toll-like receptor 4	","LY96
TLR4",Q9Y6Y9; D0EWT9
RAD6-RAD18 ubiquitin ligase complex,Saccharomyces cerevisiae,"Ubiquitin ligase complex invovled in post-replicative repair of damaged DNA. Mono-ubiquitinates PCNA at a highly conserved lysine, lys-164, in response to replication-stalling DNA damage. This promotes the recruitment of a class of specialized polymerases capable of using damaged DNA as a template for trans-lesion synthesis. Also plays a role in the prevention of spontaneous mutations caused by oxidation of guanine to 7,8-dihydo-8-oxoguanine, caused by free radicals and reactive oxygen species.",    E2 ubiquitin-conjugating protein ;     E3 ubiquitin-protein ligase ,"RAD6
RAD18",A0A6C1DR19; A0A142F3P2
PHO85-PHO80 CDK-cyclin complex,Saccharomyces cerevisiae,"The PHO80-PHO85 cyclin-CDK holoenzyme phosphorylates and inactivates the transcription factor PHO4, by preventing its association with the transcription factor PHO2 and the nuclear import receptor PSE1, and by promoting association with the nuclear export receptor MSN5, excluding PHO4 from the nucleus. PHO80-PHO85 phosphorylates and inactivates protein kinase RIM15 by retaining it in the cytoplasm, antagonizing RIM15-induced entry into stationary phase. PHO80-PHO85 also phosphorylates and inactivates the calcineurin-responsive transcription factor CRZ1, linking PHO85 to calcium signaling",Cyclin-dependent protein kinase PHO85; Cyclin PHO80,"PHO85
PHO80",P17157; P20052
DNA polymerase (Pol) episolon ,Saccharomyces cerevisiae,"Believed to play a role in the elongation of both leading and lagging strands of chromosomal DNA in eukaryotic cells. Required for DNA replication, DNA repair, transcriptional silencing and sister-chromatid cohesion.",DNA Polymerase II B subunit; DNA Polymerase II B subunit; DNA Polymerase II B subunit; DNA polymerase epsilon catalytic subunit,"DPB2, DPB3, DPB4, POL2",P24482; P27344; Q04603; A6ZRI1
Golgi transport complex,Saccharomyces cerevisiae,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",        Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit;         Golgi transport complex subunit,"COG6
COG1
COG5
COG8
COG7
COG4
COG2
COG3",A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8; A0A6C1DRK8
GPI-anchor transamidase complex,Saccharomyces cerevisiae,"Transamidase enzyme complex that transfers the glycosylphosphatidylinositol (GPI) lipid to the newly made GPI protein in the endoplasmic reticulum, replacing the C-terminal GPI attachment signal peptide of a protein with the lipid. GPI is a complex glycolipid with a core structure, phosphoethanolamine-6-mannose-alpha1,2-mannose-alpha1,6-mannose-alpha1,4-glucosamine-alpha1,6-inositol-phospholipid that functions as a membrane anchor for many cell surface proteins.","	Subunit of the glycosylphosphatidylinositol transamidase complex	; 	Subunit of the glycosylphosphatidylinositol transamidase complex; 	Subunit of the glycosylphosphatidylinositol transamidase complex	; 	Transmembrane protein	; 	Catalytic subunit of the ER membrane GPI transamidase complex	","GAA1
GAB1
GPI16
GPI17
GPI8",A0A6C1DTV3; A0A6C1DTV3; A0A6C1DTV3; B5VGK6; P49018
Glycosylphosphatidylinositol-mannosyltransferase I complex,Saccharomyces cerevisiae,"Mannosyltransferase complex responsible for the transfer of the first alpha-1,4-mannose to the glycosylphosphatidylinositol (GPI) during GPI precursor assembly. GPI is a complex glycolipid with a core structure, phosphoethanolamine-6-mannose-alpha1,2-mannose-alpha1,6-mannose-alpha1,4-glucosamine-alpha1,6-inositol-phospholipid that functions as a membrane anchor for many cell surface proteins.",Protease B Non-derepressible; GlycosylPhosphatidylInositol anchor biosynthesis,"PBN1
GPI14 ",P25580; A6ZS40
Dsl1 tethering complex,Saccharomyces cerevisiae,"Multisubunit tethering complex essential for the retrograde traffic of COPI-coated vesicles from the Golgi to the ER. Binds to individual SNAREs via their N-terminal regulatory domains and also to assembled SNARE complexes, and is capable of accelerating SNARE complex assembly. SNARE binding mediates fusion of COPI vesicles with the endoplasmic reticulum.","	DSL1; SEC39; DSL3;TIP20	; 	","DSL1
SEC39 (DSL3)
TIP20",A0A6C1DZ03; B3RHU9; Q12745; B3LHK0
"AP-1 adaptor complex (HA1, HA1 clathrin adaptor)",Saccharomyces cerevisiae,,APL2; DPS1; APM1; APL4; ,"APL2	
APS1	
APM1	
APL4",Q12500; A7A0N9; C7GSG1; A6ZWS2
PAN1 actin cytoskeleton-regulatory complex,Saccharomyces cerevisiae,"Believed to be required for the internalization of endosomes during actin-coupled endocytosis. The complex links the site of endocytosis to the cell membrane-associated actin cytoskeleton, coordinating ARP2/3 stimulation at the later stages of endocytosis. Present in the late endocytic coat","	END3; PAN1; SLA1","END3
PAN1
SLA1",B5VQV9; C7GJG6; C7GM55
